"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"CDH10",72.2700084929553,-1.90476025660625,0.311360316217667,-6.1175434292489,9.50288674238805e-10,2.10347682216644e-08,"CDH10"
"RTKN2",118.307066785441,-1.88236503060885,0.264423642381846,-7.11874707440338,1.08912559090027e-12,3.41879179387476e-11,"RTKN2"
"BDKRB1",134.535733471037,-1.8808307321792,0.270231164671513,-6.96008076812864,3.40077709871327e-12,1.00122878700352e-10,"BDKRB1"
"GADD45G",12.6110652930857,-1.87685386135926,0.650831611174275,-2.88377796827187,0.00392935690669432,0.0213250460074754,"GADD45G"
"GDF15",451.004765299293,-1.8685332282108,0.138568489707444,-13.4845463940307,1.92847879219412e-41,4.23747937533581e-39,"GDF15"
"NA",6.19633154083578,-1.86777439592819,0.818142995347918,-2.28294369877715,0.0224336849755434,0.0871330320951373,NA
"MEST",677.213238740759,-1.86376488899956,0.137305880638073,-13.5738169431526,5.72607857724435e-42,1.32272415134345e-39,"MEST"
"MIAT",69.7506634426487,-1.85951512618316,0.264125805583103,-7.04026296134888,1.91877367863212e-12,5.81049817505773e-11,"MIAT"
"TNFSF9",13.3117287276299,-1.85567800173495,0.567566258370708,-3.26953544959135,0.00107724238290437,0.00711762128902489,"TNFSF9"
"CES3",6.88456248893204,-1.85424967494303,0.782581199297571,-2.3694022762205,0.0178168628148421,0.0726792470450135,"CES3"
"ROR1-AS1",17.3541271696118,-1.84593883541128,0.503080207988739,-3.6692734202189,0.000243240816489847,0.00194814571596517,"ROR1-AS1"
"CEROX1",9.29051305812544,-1.84519442417115,0.706993581920089,-2.60991679607597,0.00905642469691149,0.0424944427575394,"CEROX1"
"PCDH1",14.7488605720807,-1.84439894717692,0.642846150175009,-2.86911409001174,0.00411623293098559,0.0221722824964121,"PCDH1"
"LSP1",19.9435924490582,-1.8384383740477,0.536359388207197,-3.42762411634624,0.000608887894299007,0.0043587374173538,"LSP1"
"GADL1",13.8056077068408,-1.83832226942854,0.697891025984155,-2.6341107722888,0.0084357961510362,0.0401469030769599,"GADL1"
"TBX18",2754.96812806571,-1.83356226731431,0.127342043518617,-14.3987187314632,5.27116643944682e-47,1.53186898235408e-44,"TBX18"
"INHBE",16.8065994873514,-1.83217168013256,0.489386128396612,-3.74381612763597,0.000181246311217288,0.00149665262855779,"INHBE"
"NA",7.94988690466728,-1.81967117209723,0.716690673405122,-2.53899100354083,0.0111172681983805,0.0501404101122453,NA
"LINC02593",25.891624639213,-1.81754455256922,0.482559237853901,-3.76646929536036,0.000165572435875398,0.00138178978675448,"LINC02593"
"CPZ",41.4976447528978,-1.8150020181451,0.338893005116365,-5.35567860871573,8.52359002827051e-08,1.40768144023261e-06,"CPZ"
"ADAM12",1365.17398590702,-1.81454304088636,0.100483689495168,-18.0580853470116,6.81455165840654e-73,6.13922958905846e-70,"ADAM12"
"TMEM217",50.8394476068506,-1.81245803117114,0.322264717927463,-5.62412802377917,1.86447342646208e-08,3.46688154778058e-07,"TMEM217"
"FST",2906.3410530882,-1.80754258699,0.130787568217313,-13.8204464814778,1.91876048019718e-43,5.01046758437577e-41,"FST"
"SPTA1",7.12197285041751,-1.79654906237637,0.79108104515115,-2.27100506754413,0.02314667117958,0.0892863886349117,"SPTA1"
"AFF3",10.6404776877593,-1.78834674791757,0.723730281144776,-2.47101274398635,0.0134731017292534,0.0581317880645803,"AFF3"
"CLDN11",3431.57264316715,-1.77433844122912,0.172997903362674,-10.2564158682859,1.10740999340589e-24,1.09633589347183e-22,"CLDN11"
"SPACA6-AS1",10.9948155207941,-1.77209393546597,0.676813860446087,-2.61828848229849,0.00883720597058163,0.0417047609161707,"SPACA6-AS1"
"RXFP1",35.2187984451854,-1.77120039722364,0.438792217654257,-4.03653557643368,5.42463029201156e-05,0.000512000987959478,"RXFP1"
"EPHB2",344.056124155505,-1.77069979427664,0.160961483915455,-11.0007670854147,3.7889496034547e-28,4.80769675739766e-26,"EPHB2"
